image,caption
112178718_87270d9b4d.jpg,a man in a white t - shirt and blue shorts is holding a surfboard in the sand
103106960_e8a41d64f8.jpg,a little boy in a red jacket is playing with a hockey stick
1311388430_4ab0cd1a1f.jpg,a pole in the middle of a field with mountains in the background
128912885_8350d277a4.jpg,a white dog is jumping in the air to catch a red ball
1271210445_7f7ecf3791.jpg,a group of children sit in front of a birthday cake
1153704539_542f7aa3a5.jpg,the girls in the blue shirts are playing with a white drum
111537222_07e56d5a30.jpg,a rock climber climbs up a rock in a helmet and blue pants
1509786421_f03158adfc.jpg,a boy is pointing a gun at the camera while a man looks on
109738763_90541ef30d.jpg,a snowboarder performs a flip in the air in front of trees
1424237335_b3be9920ba.jpg,a little girl in a pink outfit is swinging on a metal bar in a park
1042020065_fb3d3ba5ba.jpg,a boy in a green jersey is looking over a railing at a harbor full of small boats
1034276567_49bb87c51c.jpg,a boy is eating a piece of bread in a park
1104133405_c04a00707f.jpg,a boy in a white t - shirt is running in the grass with a soccer ball in his hand
1262583859_653f1469a9.jpg,a man in a green vest and black shorts rides a yellow bike down a city street
1282392036_5a0328eb86.jpg,a woman in a red dress is sitting in a wagon with a child in a red dress
1472053993_bed67a3ba7.jpg,a man skis down a snowy hill with snowy mountains in the background
103205630_682ca7285b.jpg,a brown dog is standing in the snow near a blue tent
1245022983_fb329886dd.jpg,a little girl in a pink skirt and striped t - shirt
1420060118_aed262d606.jpg,a man in a red vest is jumping in the air in front of a forest
1263801010_5c74bf1715.jpg,a man in a red jacket and black pants skis down a snowy hill
143552829_72b6ba49d4.jpg,a man in a red jacket is riding a dirt bike in a muddy area of water
1312954382_cf6d70d63a.jpg,a little girl in a green dress walks down a city street with a hello - face balloon in her hand
1009434119_febe49276a.jpg,a black and white dog is running in the grass near a white picket fence
1184967930_9e29ce380d.jpg,a brown dog is standing in the middle of a field of flowers
1517340899_ee1c74a8f6.jpg,a little girl in a pink shirt is jumping in the air
1363843090_9425d93064.jpg,a black and white dog splashes in water near a wooded area
1505686764_9e3bcd854a.jpg,a man in red trunks is standing on a rock near a stream
1177994172_10d143cb8d.jpg,two boys play with a sprinkle in the dark
1260816604_570fc35836.jpg,a woman in a red car waits for a ride
1358892595_7a37c45788.jpg,a white dog with a red collar is running in a field full of leaves
152029243_b3582c36fa.jpg,a man in a red jacket is standing on a dirt bike in a rocky area
1100214449_d10861e633.jpg,a boy jumps into a fountain in front of a building
1397923690_d3bf1f799e.jpg,a man wearing a backpack and skis up a snowy hill
1107471216_4336c9b328.jpg,a little girl with a gun in her hand
138705546_be7a6845dd.jpg,two girls sit on rocks near a body of water
136644343_0e2b423829.jpg,a little boy swinging on a tire in a park
1303727066_23d0f6ed43.jpg,a man in a green peace sign t - shirt stands in a crowd of people
1056873310_49c665eb22.jpg,a brown and black dog is running on a rocky beach near the water
1443807993_aebfb2784a.jpg,a little girl sliding down a red and green inflatable slide
1132772170_600610c5df.jpg,a man jumping into a bed in a hotel room
1397295388_8a5b6b525d.jpg,a crowd of people standing in a mall
1094462889_f9966dafa6.jpg,a golden retriever in a red collared collared collared collared collared collared collared collared collared collared collar
1332492622_8c66992b62.jpg,a colorfully painted building with a balcony and balcony railing
1387461595_2fe6925f73.jpg,two men standing in front of a monument
123889082_d3751e0350.jpg,a white dog and a tan colored dog running in the grass
108899015_bf36131a57.jpg,a snowboarder is going down a snowy hill with trees in the background
1057210460_09c6f4c6c1.jpg,a woman in a blue tank top is standing in front of a door
127490019_7c5c08cb11.jpg,a woman in a blue polo shirt and white shorts prepares to put a golf ball into the ground
1329832826_432538d331.jpg,a man stands in the middle of the street in front of a retail
1095476286_87d4f8664e.jpg,a child plays in a fountain with water sprinkles on the ground
1511807116_41c3645e8c.jpg,a black and tan dog and a black and tan dog play in the grass
111537217_082a4ba060.jpg,a man rock - climbing
1490213660_9ea45550cf.jpg,a white dog wades through water in a wooded area
1500853305_0150615ce9.jpg,a little girl stands on a wooden bridge in the woods
143688205_630813a466.jpg,a person climbs up a rock in the woods
1388373425_3c72b56639.jpg,a woman in a black shirt is talking on a cellphone
1189977786_4f5aaed773.jpg,a black and white dog and a tan colored dog jump into a pool for a jump
1392272228_cf104086e6.jpg,a black dog is running through the water with a stick in its mouth
1383840121_c092110917.jpg,a brown dog is laying down on a blue blanket
125319704_49ead3463c.jpg,a man in a red jacket is standing next to a mountain bike near a stream
1304961697_76b86b0c18.jpg,two young boys wakeboarding in the water
1089755335_0bfbfd30e6.jpg,a family fishing on a pier at night
1211015912_9f3ee3a995.jpg,a girl in a white dress is standing in front of a group of children
1523800748_a59e980eee.jpg,two children play on the beach near the water
1191338263_a4fa073154.jpg,a little girl sits on a bench in front of a large screen displaying a picture of a plane
1280147517_98767ca3b3.jpg,a wakeboarder is pulled behind a boat in the water
1236964638_1808784a3c.jpg,a man jumping into a pool near the water
1148238960_f8cacec2fc.jpg,a group of people ride their bikes down a city street
1466479163_439db855af.jpg,a dog is running in a field with a toy in its mouth
1446053356_a924b4893f.jpg,two young girls play soccer in a field
1351315701_6580b51c41.jpg,a black and white dog chases a white dog in a harness in front of a crowd
148512773_bae6901fd6.jpg,a man is sitting on a rock overlooking a body of water
1313693129_71d0b21c63.jpg,a boy and a girl standing on the shore of a lake
1119463452_69d4eecd08.jpg,a little girl in a pool smiling for a picture
136552115_6dc3e7231c.jpg,a person jumping a mountain bike in the air
1472249944_d887c3aeda.jpg,a woman in a red leather jacket is standing on a rock in a park full of people
1423997242_ea2189ec5e.jpg,a man is sitting in the grass with a backpack and water bottles
1400424834_1c76e700c4.jpg,a woman in a striped tank top and gray jeans is standing in front of a metal fence
1402843760_d30f1dbf0f.jpg,a small white dog with a green collar and a green collared collared collared collared collared collared collared collared collar
1032122270_ea6f0beedb.jpg,a woman in a field with three dogs
1124448967_2221af8dc5.jpg,a baby is sleeping on a chair in front of a building
1417637704_572b4d6557.jpg,two little girls in a car looking out the window
1022454332_6af2c1449a.jpg,a little boy in a black shirt is standing on the shore of a lake with a city in the background
1413956047_c826f90c8b.jpg,three men standing on top of a mountain
118187095_d422383c81.jpg,a little boy in a red car rides in a parade
1248357227_2b4175fc39.jpg,a man and a woman fishing in the water
1144288288_e5c9558b6a.jpg,a woman in a white t - shirt and blue shorts is running down a city street
1042590306_95dea0916c.jpg,a man and woman smile for a picture on a park bench
1117972841_2b9261f95f.jpg,a brown and white dog is running in the sand
1439046601_cf110a75a7.jpg,a boy standing in a pool smiling for a picture
1454841725_4b6e6199e2.jpg,a group of girls smile for a picture in a school hallway
1319634306_816f21677f.jpg,a large brown dog is sitting in the grass
1430154945_71bbaa094a.jpg,a family sits at a table for a meal
1488937076_5baa73fc2a.jpg,"a black and white dog, a brown and white dog, a black and white dog, a black and white dog and a black and white"
1460500597_866fa0c6f3.jpg,a man sits at a table in a restaurant
1457762320_7fe121b285.jpg,a man in a white tank top and gray shorts is standing next to a red and black mountain bike
1355833561_9c43073eda.jpg,a man holding a child up in the air on a beach
1295671216_cde1b9c9d1.jpg,a man in a white shirt and jeans is standing in front of a line of people
1244485675_822e6efe60.jpg,a boy looks through a window in a city
1433088025_bce2cb69f8.jpg,a man in a yellow shorts is standing in front of a crowd
1439282131_3814d6ae04.jpg,a golden retriever and a golden retriever play in the water
135235570_5698072cd4.jpg,a man throws a frisbee in front of a monument
1277185009_06478dd457.jpg,a man is standing on a rocky outcrop
1470061031_4cb59c12a8.jpg,a white and a tan colored dog play with a white and a tan colored dog
1143373711_2e90b7b799.jpg,a man in a blue jersey is riding a bike on a city street
1478294229_7e1c822fea.jpg,the legs of a man on a black bike
1131932671_c8d17751b3.jpg,a baby jumping on a bed in a bedroom
1394396709_65040d97ab.jpg,a large brown dog is running through the water with a toy in its mouth
1316247213_1d2c726dd5.jpg,a girl in a white hat smiles at the camera while a group of children play in the background
1306145560_1e37081b91.jpg,a black dog is running through water with a tennis ball in its mouth
1142847777_2a0c1c2551.jpg,a man in a black vest rides a blue bike on a city street
1394599090_fe0ba238f0.jpg,a man and a child in a swimming pool
1332208215_fa824f6659.jpg,a man and a woman sitting on a subway bench
1259936608_e3f0064f23.jpg,a little girl splashes in a water park
150582765_bad8dec237.jpg,a woman in a pink sweater takes a picture with a camera
133189853_811de6ab2a.jpg,a man in a black vest and bow tie is hugged by another man in a white shirt and bow tie
1247181182_35cabd76f3.jpg,a man in a red backpack climbs a rocky outcrop
1229756013_94663527d7.jpg,a brown dog is jumping up in the air to catch a toy in a field full of trees
146577645_91b570c0d0.jpg,a man in a red helmet is paddling a kayak in rough waters
108898978_7713be88fc.jpg,two skiers make their way up a snowy hill
1298295313_db1f4c6522.jpg,a child jumping into the water near a dock
1290894194_8a4ffdc7eb.jpg,a woman in a red tank top is petting a small dog in a red and white striped bathing suit
1478268555_7e301fc510.jpg,a man rock - climbing
1396703063_e8c3687afe.jpg,a man in a white t - shirt and a straw hat walks down a city street
