image,category,meteor,generated_caption
2774705720_1cb85812dc.jpg,good,99.93,a couple sitting on a bench in a park
428483413_b9370baf72.jpg,good,82.42,a man and a woman walking by a store window
3703107969_175da4b276.jpg,good,79.34,a man doing a trick on a bike
3126752627_dc2d6674da.jpg,good,76.53,two men playing basketball
2953861572_d654d9b6f2.jpg,good,75.5,a dog running in the sand
1072153132_53d2bb1b60.jpg,interesting,35.71,the dog is black and white
1100214449_d10861e633.jpg,interesting,35.71,water fountain in front of building
1876536922_8fdf8d7028.jpg,interesting,35.71,two dogs playing in the water
3359636318_39267812a0.jpg,interesting,35.46,a group of people walking down the street
2021613437_d99731f986.jpg,interesting,35.46,a young boy playing with a basketball ball
3738685861_8dfff28760.jpg,poor,6.41,a wooden fence behind the boy
3564007203_df2b8010f1.jpg,poor,6.37,the horse is brown
2852982055_8112d0964f.jpg,poor,5.32,the water is splashing
2474918824_88660c7757.jpg,poor,3.79,the sky is clear and blue
3184112120_6ddcd98016.jpg,poor,3.12,two people standing next to each other
