Image,Category,METEOR,Generated Caption,Reference (first),Hot Region %,Focus Area,Explanation Summary
2774705720_1cb85812dc.jpg,GOOD,99.93,a couple sitting on a bench in a park,A couple sits on a shaded bench with a view of tre,0.4,bottom-right,Model correctly focused on main subject (bottom-right region). Attention concentrated (0% hot area). Generated caption closely matches references.
428483413_b9370baf72.jpg,GOOD,82.42,a man and a woman walking by a store window,a blond girl standing in front of a large metal fa,1.7,top-left,Model correctly focused on main subject (top-left region). Attention concentrated (2% hot area). Generated caption closely matches references.
3703107969_175da4b276.jpg,GOOD,79.34,a man doing a trick on a bike,a boy performs a stunt on a BMX bike .,0.7,center,Model correctly focused on main subject (center region). Attention concentrated (1% hot area). Generated caption closely matches references.
3126752627_dc2d6674da.jpg,GOOD,76.53,two men playing basketball,A basketball player shooting while another player ,0.8,bottom-right,Model correctly focused on main subject (bottom-right region). Attention concentrated (1% hot area). Generated caption closely matches references.
2953861572_d654d9b6f2.jpg,GOOD,75.5,a dog running in the sand,a black dog with a blue tag running on a beach,1.4,center,Model correctly focused on main subject (center region). Attention concentrated (1% hot area). Generated caption closely matches references.
1072153132_53d2bb1b60.jpg,INTERESTING,35.71,the dog is black and white,A black and white dog catches a toy in midair .,0.2,center,Model attended to a valid element (center region) but described a different aspect than human references. Caption is partially correct but incomplete or differently focused.
1100214449_d10861e633.jpg,INTERESTING,35.71,water fountain in front of building,A boy in s striped shirt is jumping in front of a ,2.9,top-right,Model attended to a valid element (top-right region) but described a different aspect than human references. Caption is partially correct but incomplete or differently focused.
1876536922_8fdf8d7028.jpg,INTERESTING,35.71,two dogs playing in the water,Two dogs are running through water carrying a rope,1.2,center,Model attended to a valid element (center region) but described a different aspect than human references. Caption is partially correct but incomplete or differently focused.
3359636318_39267812a0.jpg,INTERESTING,35.46,a group of people walking down the street,A group of people are standing in front of some st,0.6,bottom-right,Model attended to a valid element (bottom-right region) but described a different aspect than human references. Caption is partially correct but incomplete or differently focused.
2021613437_d99731f986.jpg,INTERESTING,35.46,a young boy playing with a basketball ball,A boy dribbles a basketball in the gymnasium .,0.5,center,Model attended to a valid element (center region) but described a different aspect than human references. Caption is partially correct but incomplete or differently focused.
3738685861_8dfff28760.jpg,POOR,6.41,a wooden fence behind the boy,A blond child is playing with a metal yard ornamen,0.5,bottom-right,"Model attention misplaced (0% hot area, focus: bottom-right). Caption describes wrong elements instead of main subject."
3564007203_df2b8010f1.jpg,POOR,6.37,the horse is brown,A man is talking to a mounted policeman outside a ,1.9,top-right,"Model attention misplaced (2% hot area, focus: top-right). Caption describes wrong elements instead of main subject."
2852982055_8112d0964f.jpg,POOR,5.32,the water is splashing,a woman is looking away from two small children pl,1.7,bottom-left,"Model attention misplaced (2% hot area, focus: bottom-left). Caption describes wrong elements instead of main subject."
2474918824_88660c7757.jpg,POOR,3.79,the sky is clear and blue,A guy tries to climb a stone cliff while his frien,1.3,center,"Model attention misplaced (1% hot area, focus: center). Caption describes background instead of main subject."
3184112120_6ddcd98016.jpg,POOR,3.12,two people standing next to each other,A girl is touching a man 's ear in front of a tree,2.7,top-left,"Model attention misplaced (3% hot area, focus: top-left). Caption describes wrong elements instead of main subject."
