image,blip_caption,reference_captions
3356369156_074750c6cc.jpg,a boat in the water,"['A blue boat with a yellow canopy is floating on calm waters .', 'A boat in the water .', 'A boat with a roof on green water .', 'The boat is in the middle of the water .', 'The solitude boat floats on the lake .']"
207275121_ee4dfa0bf2.jpg,a brown dog running across a lush green lawn,"['A brown dog running in a yard .', 'A dog runs on the grass in a yard , a gazebo in the background .', ""A dog trotting through someone 's yard ."", 'A large brown dog is running through a grassy backyard .', 'Large brown dog runs through a large grassy area .']"
1248357227_2b4175fc39.jpg,the water is calm,"['The kids play in the wooded area near the water .', ""Three children in jackets looking at water 's edge looking at their reflections in a lake"", 'Three children looking into the water on a wooded lakeside .', 'Three children play near a placid lake in a wooded area .', 'Three children stand next to a lake with their reflections on the water .']"
3525841965_7814484515.jpg,two little girls standing together,"['two young children standing outside on a dirt road .', 'Two smiling girls stand on a dirt road in India .', 'Two young , dark skinned girls are smiling and laughing .', 'Two young girls are smiling at the camera .', 'Two young girls stand in the dirt road and smile at the camera .']"
255741044_1102982213.jpg,two dogs running in the grass,"['Two brown and white dogs are next to each other with red toys in their mouths .', ""two bulldogs running togerther in the grass with their tongue 's hanging out ."", 'Two dogs running through grass next to a street .', 'Two dogs running up a grassy hill .', 'Two dogs run up a hill with their tongues out .']"
2472980433_210ec62874.jpg,a man on a motorcycle,"['a man doing tricks on a motorcycle', 'A man puts his motorcycle up on its rear wheel on a track .', 'A man riding a motorcycle is performing a trick at a track .', 'A man stands on his motorcycle while doing a wheelie .', 'The motorcycle is being ridden on a track whilst pulling a wheelie .']"
2420730259_86e7f8a815.jpg,a man holding a small child in his arms,"['A man holding and kissing a crying little boy on the cheek .', 'a man in a green shirt is kissing a crying toddler whilst watching runners in a road race .', 'A man kissing a baby at a marathon .', 'A man wearing a green shirt is trying to comfort his crying child by holding the child and giving him a kiss on the cheek .', 'Man kisses crying baby at a marathon .']"
2181846120_3744ca3942.jpg,a dog sitting on a bed,"['A brown dog appears to be operating a computer .', 'A brown dog is resting its paws on a laptop keyboard .', 'A dog sits with its paws on a laptop computer .', ""A dog with a red bandanna has its paws on a laptop 's keyboard and is looking up ."", 'The brown dog with a red bandanna is sitting with its paws up on the computer .']"
3518334317_bc40bae18d.jpg,a group of people walking down a street,"['A man and a woman walking away from an outdoor market .', 'Many people are walking through a rural shopping area .', 'Men walking in a middle eastern market .', 'Several people move through a long alleyway near a parked motorized scooter .', 'Two people walk under an arch on a city street .']"
203114209_e4cd71a6b7.jpg,the water is splashing,"['A girl falling off a yellow and blue water tube .', 'A woman hanging onto the end of a raft .', 'A woman holds onto a blow-up raft as it is pulled over the water .', 'A woman rides an inflatable tube pulled by a boat .', 'A young woman tubing on water .']"
